City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,esparza,9.9945,-84.6647,28.55,83,93,2.57,CR,1698607064
83,lindi,-10.0,39.7167,25.94,85,41,3.48,TZ,1698607065
84,shadegan,30.6497,48.6647,22.97,23,100,2.96,IR,1698607065
85,brisas barra de suchiate,14.55,-92.2167,32.1,77,100,2.94,MX,1698607065
86,nova sintra,14.8667,-24.7167,23.15,67,47,4.89,CV,1698606975
87,carnarvon,-24.8667,113.6333,19.1,77,0,11.33,AU,1698607065
88,margaret river,-33.95,115.0667,12.06,67,71,5.78,AU,1698606796
89,tazovsky,67.4667,78.7,-15.85,94,16,1.52,RU,1698607065
90,qaqortoq,60.7167,-46.0333,4.21,65,100,5.56,GL,1698607065
91,gbarnga,6.9956,-9.4722,24.82,65,0,0.86,LR,1698607066
92,gudauta,43.1055,40.6207,19.13,76,98,1.59,GE,1698607066
93,laguna,38.421,-121.4238,21.27,25,0,3.6,US,1698607066
94,arraial do cabo,-22.9661,-42.0278,27.92,74,0,4.63,BR,1698607066
95,kaiapoi,-43.3783,172.6401,13.37,85,40,3.6,NZ,1698607066
96,mabaruma,8.2,-59.7833,28.72,81,86,2.91,GY,1698607066
97,brigantine,39.4101,-74.3646,20.11,81,20,5.14,US,1698607066
98,kuta,-8.7233,115.1723,25.97,94,20,2.24,ID,1698607067
99,lebu,-37.6167,-73.65,9.34,72,100,7.11,CL,1698607067
100,wailua homesteads,22.0669,-159.378,27.24,82,0,2.06,US,1698607067
101,laminusa,5.5549,120.9136,27.94,72,94,0.43,PH,1698607067
102,stephenville,32.2207,-98.2023,6.77,93,100,7.2,US,1698607067
103,la'ie,21.6477,-157.9253,28.57,79,4,0.89,US,1698607067
104,porto novo,6.4965,2.6036,28.9,88,99,1.39,BJ,1698607067
105,krasnokholmskiy,55.9873,55.0466,1.24,100,100,2.66,RU,1698607067
106,jamestown,42.097,-79.2353,8.77,96,100,3.13,US,1698606946
107,pitea,65.3172,21.4794,-3.95,82,16,1.52,SE,1698607068
108,broken hill,-31.95,141.4333,14.44,42,89,5.83,AU,1698607068
109,cambria,35.5641,-121.0808,23.12,46,0,2.24,US,1698607068
110,gobernador virasora,-28.05,-56.0333,32.24,67,0,1.34,AR,1698607068
111,rabaul,-4.1967,152.1721,25.52,82,78,2.15,PG,1698607068
112,crane,31.3974,-102.3501,5.1,83,100,8.65,US,1698607069
113,acarau,-2.8856,-40.12,29.52,58,19,9.46,BR,1698607069
114,afaahiti,-17.75,-149.2833,26.93,82,19,6.54,PF,1698607069
115,khorixas,-20.3667,14.9667,22.97,25,0,2.98,NA,1698607069
116,utrik,11.2278,169.8474,28.2,78,63,8.71,MH,1698607066
117,umba,66.6871,34.3429,-4.83,81,28,1.75,RU,1698607069
118,ivanivka,46.7208,34.553,14.22,52,0,1.22,UA,1698607069
119,nabire,-3.3667,135.4833,23.89,95,100,1.66,ID,1698607070
120,mulki,13.1,74.8,23.6,94,75,2.57,IN,1698607070
121,yelm,46.942,-122.606,10.97,60,0,0.0,US,1698607070
122,cill airne,52.05,-9.5167,8.36,89,94,1.31,IE,1698607070
123,camana,-16.6228,-72.7111,22.23,74,70,5.37,PE,1698607070
124,sisophon,13.5859,102.9737,25.55,88,97,0.65,KH,1698607070
125,nicoya,10.1483,-85.452,26.71,85,98,1.78,CR,1698607070
126,vorkuta,67.5,64.0,-17.66,98,22,2.02,RU,1698607070
127,hadibu,12.65,54.0333,26.54,73,54,3.83,YE,1698607071
128,chos malal,-37.3781,-70.2709,7.06,72,93,15.66,AR,1698607071
129,inhambane,-23.865,35.3833,19.99,94,75,7.72,MZ,1698607071
130,cape coast,5.1053,-1.2466,26.63,84,29,4.08,GH,1698607071
131,kittila,67.6647,24.8936,-8.55,100,100,0.0,FI,1698607071
132,lesogorsk,56.0458,99.5136,-6.15,65,0,0.89,RU,1698607071
133,geraldton,-28.7667,114.6,15.23,88,62,6.17,AU,1698607071
134,holualoa,19.6228,-155.9522,26.97,71,40,3.09,US,1698607072
135,tete,-16.1564,33.5867,32.05,55,20,5.14,MZ,1698607072
136,luninyets,52.2472,26.8047,8.03,93,96,4.07,BY,1698607072
137,chui,-33.6971,-53.4616,21.58,75,70,6.2,UY,1698607072
138,dudinka,69.4058,86.1778,-16.85,98,68,1.79,RU,1698607072
139,iskateley,67.6803,53.1512,-8.88,86,100,5.81,RU,1698607072
140,hasaki,35.7333,140.8333,11.22,66,0,7.5,JP,1698607072
141,alupka,44.4167,34.05,17.25,59,0,1.91,UA,1698607073
142,anadyr,64.75,177.4833,-1.72,100,75,7.0,RU,1698607073
